Código do Município;Município;Estado;Região;Região Metropolitana;Ano de Referência;Código do Prestador;Prestador;Sigla do Prestador;Natureza Jurídica;POP_TOT - População total do município (Fonte: IBGE):;POP_URB - População urbana do município (Fonte: IBGE);CS001 - Existe coleta seletiva formalizada pela prefeitura no município?;CS050 - População urbana do município atendida com a coleta seletiva do tipo porta a porta executada pela Prefeitura (ou SLU);FN201 - A Prefeitura (Prestadora) cobra pelos serviços de coleta regular, transporte e destinação final de RSU (Antigo campo GE012);FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN221 - Receita orçada com a cobrança de taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE005);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde, educação, pagamento de pessoal, etc.). (Antigo campo GE010);FN224 - A Prefeitura recebeu algum recurso federal para aplicação no setor de manejo de RSU? (Antigo campo GE025);FN225 - Valor repassado (Antigo campo GE026);FN226 - Tipo de recurso (Antigo campo GE028);PO021 - O município definiu mecanismos de participação e controle social?;PO036 - Limpeza pública e manejo de resíduos sólidos;PO040 - As metas do plano para os resíduos sólidos estão sendo alcançadas?;PO042 - O município é integrante de algum CONSÓRCIO INTERMUNICIPAL regulamentado pela Lei nº 11.107/2005 que tenha entre suas atribuições específicas a gestão ou prestação de um ou mais serviços de manejo de RSU (serviços de coleta de resíduos domiciliares ou públicos, operações de aterro sanitário etc.);PO044 - Qual o ano de adesão do município ao referido consórcio intermunicipal?;PO048 - O Município possui Plano Municipal de Gestão Integrada de Resíduos Sólidos (PMGIRS) conforme a Lei nº 12.305/2010 que trata da Política Nacional de Resíduos Sólidos?;PO049 - Quando foi aprovado?;PO050 - O Plano de Gestão de Resíduos Sólidos referido anteriormente é individualizado (somente para o município) ou é intermunicipal (regional) contemplando também outros municípios? ATENÇÃO: Não considerar o Plano Estadual como resposta!!!;PO051 - Quais os demais municípios abrangidos pelo Plano de Gestão [Regional]?;TB014 - Quantidade de trabalhadores de agentes privados envolvidos nos serviços de manejo de RSU (Antigo campo GE016);IN006 - Despesa per capita com manejo de rsu em relação à população urbana
410110;Andirá;PR;Sul         ;;2020;41011040;Serviço Autônomo Municipal de Água e Esgoto;SAMAE;Autarquia;19.926;18.709;Sim;18.709;Sim;1.720.550,71;1.036.773,40;1.051.177,50;64.234.610,08;Não;;;Sim;Sim;Sim;Não;;Sim;mai/12;Municipal;;11;91,96
410120;Antonina;PR;Sul         ;;2020;41012040;PREFEITURA MUNICIPAL DE ANTONINA - SECRETARIA DE MEIO AMBIENTE;SEMAGRI;Administração pública direta;18.949;16.112;Sim;8.000;Sim;1.354.830,33;130;472.193,05;63.826.263,52;Não;;;Não;Sim;Sim;Não;;Não;dez/11;Municipal;;19;84,09
410130;Antônio Olinto;PR;Sul         ;;2020;41013040;Prefeitura Municipal de Antônio Olinto;PMAO;Administração pública direta;7.427;694;Não;;Não;216.000,00;;;5.000.000,00;Não;;;;;;Não;;Não;;;;5;311,24
410140;Apucarana;PR;Sul         ;;2020;41014040;Prefeitura do Municipio de Apucarana;Prefeitura;Administração pública direta;136.234;128.549;Sim;120.000;Sim;10.684.118,49;9.850.000,00;8.708.980,51;356.102.804,43;Não;;;Sim;Sim;Sim;Não;;Sim;dez/17;Municipal;;109;83,11
410150;Arapongas;PR;Sul         ;;2020;41015040;SECRETARIA DE AGRICULTURA, SERVIÇOS PÚBLICOS E MEIO AMBIENTE;SEASPMA;Administração pública direta;124.810;122.055;Sim;118.000;Sim;12.311.069,75;9.715.000,00;15.164.017,71;301.366.261,25;Não;;;Não;Sim;Sim;Não;;Sim;jan/16;Municipal;;100;100,86
410160;Arapoti;PR;Sul         ;;2020;41016040;Prefeitura Municipal de Arapoti;PMA;Administração pública direta;28.300;23.837;Não;;Não;1.720.000,00;;;87.558.500,00;Não;;;Não;Sim;Sim;Não;;Sim;jun/15;Municipal;;15;72,16
410165;Arapuã;PR;Sul         ;;2020;41016540;PREFEITURA MUNICIPAL DE ARAPUÃ;PMA;Administração pública direta;3.009;1.127;Sim;1.127;Sim;180.234,37;13.301,20;10.813,83;14.597.909,71;Não;;;;;;Não;;Sim;;Municipal;;0;159,92
410170;Araruna;PR;Sul         ;;2020;41017040;Prefeitura Municipal Araruna - pr;pma;Administração pública direta;14.000;10.929;Sim;10.905;Sim;309.162,10;356.092,79;189.679,36;49.291.946,65;Não;;;;;;Não;;Não;;;;0;28,29
410180;Araucária;PR;Sul         ;RM Curitiba;2020;41018040;Secretaria Municipal de Meio Ambiente;SMMA;Administração pública direta;146.214;135.268;Sim;132.500;Sim;14.363.378,23;9.096.000,00;9.567.927,04;767.863.965,44;Não;;;;Sim;Sim;Sim;;Não;;;;156;106,18
410185;Ariranha do Ivaí;PR;Sul         ;;2020;41018540;Prefeitura Municipal de Ariranha do Ivaí;PMAI;Administração pública direta;2.066;761;Sim;700;Não;15.672,00;;;6.737.692,25;;;;;;;Não;;Sim;;Municipal;;0;20,59
410190;Assaí;PR;Sul         ;RM Londrina;2020;41019040;PREFEITURA DO MUNICIPIO DE ASSAI;PMASSAI;Administração pública direta;14.954;12.424;Sim;12.300;Sim;1.028.645,76;1.186.300,00;919.979,76;51.545.000,00;;;;;Sim;;Não;;Não;;;;11;82,8
410200;Assis Chateaubriand;PR;Sul         ;;2020;41020040;Secretaria de Agricultura, Meio Ambiente, Transportes, Serviços Urbanos e Obras;DSU;Administração pública direta;33.340;29.290;Sim;29.290;Sim;1.332.199,77;2.105.768,92;1.515.757,10;101.617.572,70;Não;;;;Sim;Não;Não;;Sim;dez/14;Municipal;;0;45,48
410210;Astorga;PR;Sul         ;RM Maringá;2020;41021040;Departamento Municipal de Agricultura e Meio Ambiente;DMAMA;Administração pública direta;26.209;23.939;Sim;23.939;Sim;2.899.002,64;761.641,36;475.827,99;62.862.569,86;Não;;;;;;Não;;Não;;;;3;121,1
410220;Atalaia;PR;Sul         ;RM Maringá;2020;41022040;Prefeitura  Municipal de Atalaia;PR;Administração pública direta;3.881;3.320;Sim;950;Não;114.000,00;;;13.103.384,09;Não;;;;Sim;Sim;Não;;Sim;ago/18;Municipal;;0;34,34
410230;Balsa Nova;PR;Sul         ;RM Curitiba;2020;41023040;Prefeitura Municipal de Balsa Nova;PR;Administração pública direta;13.092;7.959;Sim;7.959;Sim;1.003.235,13;478.400,00;473.150,00;51.565.242,25;Não;;;Sim;Sim;Não;Sim;;Sim;jul/18;Municipal;;16;126,05
410240;Bandeirantes;PR;Sul         ;;2020;41024040;PREFEITURA MUNICIPAL DE BANDEIRANTES;PMB;Administração pública direta;31.211;27.526;Sim;13.168;Sim;942.438,05;1.497.258,00;889.922,70;74.152.293,88;;;;;;;Não;;Sim;;Municipal;;0;34,24
410250;Barbosa Ferraz;PR;Sul         ;;2020;41025040;Prefeitura Municipal de Barbosa Ferraz;PMBF;Administração pública direta;11.426;8.650;Não;;Sim;755.995,80;360.800,00;320.802,00;38.109.442,22;Não;;;Sim;Não;;Não;;Não;;;;0;87,4
410260;Barracão;PR;Sul         ;;2020;41026040;Esperança Ambiental Coleta de Resíduos Ltda;PMB;Administração pública direta;10.312;7.423;Sim;7.052;Sim;665.090,78;0;379.465,58;32.061.270,34;Não;;;;;;Sim;;Não;;;;3;89,6
410270;Barra do Jacaré;PR;Sul         ;;2020;41027040;Prefeitura Municipal de Barra do Jacaré;PMBJ;Administração pública direta;2.781;1.888;Sim;1.888;Sim;250.000,00;;10.313,66;15.296.467,25;Não;;;Sim;;;Não;;Não;;;;0;132,42
410275;Bela Vista da Caroba;PR;Sul         ;;2020;41027540;Prefeitura municipal de Bela Vista da Caroba;PMBVC;Administração pública direta;3.457;912;Não;;Não;338.000,00;;;13.700.158,00;Não;;;Não;Não;;Não;;Sim;jul/15;Municipal;;3;370,61
410280;Bela Vista do Paraíso;PR;Sul         ;RM Londrina;2020;41028040;Prefeitura Municipal de Bela Vista do Paraiso;PMBVP;Administração pública direta;15.399;14.497;Sim;10.000;Sim;1.439.077,59;545.400,00;523.345,34;46.905.518,80;Não;;;;;;Não;;Não;;;;9;99,27
410290;Bituruna;PR;Sul         ;;2020;41029040;PREFEITURA MUNICIPAL DE BITURUNA;PMB;Administração pública direta;16.400;10.223;Sim;3.000;Sim;363.000,00;300.000,00;263.000,00;42.772.267,48;Não;;;;Sim;O primeiro ano previsto para as metas é posterior a este ano de referência;Não;;Sim;jan/19;Municipal;;0;35,51
410300;Boa Esperança;PR;Sul         ;;2020;41030040;PREFEITURA MUNICIPAL DE BOA ESPERANÇA;PMBE;Administração pública direta;4.047;2.339;Sim;2.300;Sim;846.400,00;552.683,00;448.829,00;21.023.286,15;Não;;;Não;Não;;Não;;Não;;;;12;361,86
410302;Boa Esperança do Iguaçu;PR;Sul         ;;2020;41030240;PREFEITURA MUNICIPAL DE BOA ESPERANÇA DO IGUAÇU;PMBEI;Administração pública direta;2.470;852;Sim;852;Sim;347.035,00;56.365,51;56.365,51;17.477.566,73;Não;;;;Sim;Sim;Não;;Sim;ago/14;Municipal;;1;407,32
410304;Boa Ventura de São Roque;PR;Sul         ;;2020;41030440;SECRETARIA MUNICIPAL DO MEIO AMBIENTE;SEMMA;Administração pública direta;6.365;1.499;Não;;Não;238.304,82;;;21.996.964,97;;;;;;;Não;;Sim;;Municipal;;0;158,98
410305;Boa Vista da Aparecida;PR;Sul         ;;2020;41030540;Prefeitura Municipal de Boa Vista da Aparecida;PMBVA;Administração pública direta;7.540;4.670;Sim;4.600;Sim;1.964.017,02;259.000,00;241.455,04;28.309.742,08;Sim;277.884,62;Não oneroso (a fundo perdido);;;;Não;;Sim;;Municipal;;0;420,56
410315;Bom Jesus do Sul;PR;Sul         ;;2020;41031540;PREFEITURA MUNICIPAL DE BOM JESUS DO SUL;PMBJS;Administração pública direta;3.506;862;Sim;862;Sim;244.550,00;73.392,13;65.434,24;9.325.257,42;Não;;;;;;Sim;;Sim;;Intermunicipal;;3;283,7
410320;Bom Sucesso;PR;Sul         ;RM Maringá;2020;41032040;Prefeitura Municipal de Bom Sucesso;PMBS;Administração pública direta;7.068;5.741;Não;;Não;399.315,10;;;15.165.565,58;Não;;;;;;Não;;Não;;;;0;69,55
410322;Bom Sucesso do Sul;PR;Sul         ;;2020;41032240;DEPARTAMENTO DE OBRAS E SERVIÇOS URBANOS;DOSU;Administração pública direta;3.254;1.562;Sim;1.562;Sim;301.457,62;194.158,20;162.733,52;22.531.795,86;Não;;;;;;Não;;Sim;;Municipal;;3;192,99
410330;Borrazópolis;PR;Sul         ;;2020;41033040;SECRETARIA MUNICIPAL DE AGRICULTURA MEIO AMBIENTE E DESENVOLVIMENTO SOCIAL;SEMADE;Administração pública direta;6.439;4.748;Sim;4.748;Sim;1.111.487,70;235.107,00;239.811,68;20.343.226,56;Não;;;;;;Não;;Sim;ago/11;Municipal;;0;234,1
410335;Braganey;PR;Sul         ;;2020;41033540;Prefeitura Municipal de Braganey;PMB;Empresa pública;5.382;3.207;Sim;3.207;Sim;386.812,84;386.812,84;384.562,84;14.050.548,84;Não;;;Sim;Sim;Sim;Não;;Sim;mai/15;Municipal;;0;120,62
410337;Brasilândia do Sul;PR;Sul         ;;2020;41033740;PREFEITURA MUNICIPAL DE BRASILÂNDIA DO SUL;PMBS;Administração pública direta;2.585;1.756;Sim;1.756;Sim;355.210,00;46.700,00;88.706,00;22.937.357,00;Não;;;;Sim;Sim;Não;;Sim;mar/16;Municipal;;4;202,28
410340;Cafeara;PR;Sul         ;;2020;41034040;MUNICIPIO DE CAFEARA;PMC;Administração pública direta;2.954;2.406;Sim;2.406;Não;371.408,92;;;15.798.907,45;Não;;;;Sim;;Sim;;Não;;;;1;154,37
410345;Cafelândia;PR;Sul         ;;2020;41034540;Prefeitura Municipal de Cafelandia;PMCAF;Administração pública direta;18.456;15.543;Sim;15.543;Sim;2.078.910,59;1.043.545,66;799.859,28;63.402.739,20;Não;;;Sim;Não;;Não;;Não;;;;68;133,75
410347;Cafezal do Sul;PR;Sul         ;;2020;41034740;Secretaria da Agricultura, Meio Ambiente e Turismo;SAMAT;Administração pública direta;4.009;3.107;Sim;3.007;Sim;308.520,69;118.510,00;83.099,44;17.355.862,91;Não;;;;;;Não;;Sim;nov/17;Municipal;;0;99,3
410350;Califórnia;PR;Sul         ;;2020;41035040;Prefeitura Municipal;PMC;Administração pública direta;8.606;6.429;Sim;4.500;Não;279.730,00;;;29.089.999,00;;;;;;;Não;;Não;;;;0;43,51
410360;Cambará;PR;Sul         ;;2020;41036040;Prefeitura Municipal de Cambará;PMC;Administração pública direta;25.466;23.844;Sim;23.844;Sim;854.120,25;532.745,44;532.745,44;67.457.454,84;Não;;;Não;Sim;;Não;;Sim;dez/15;Municipal;;5;35,82
410370;Cambé;PR;Sul         ;RM Londrina;2020;41037040;PREFEITURA MUNICIPAL DE CAMBÉ;PMC;Administração pública direta;107.341;103.145;Sim;41.250;Sim;10.189.474,16;1.309.000,00;1.224.144,99;241.733.000,93;Não;;;Sim;Sim;Sim;Não;;Sim;jul/18;Municipal;;51;98,79
410380;Cambira;PR;Sul         ;RM Maringá;2020;41038040;PREFEITURA MUNICIPAL DE CAMBIRA;PMC;Administração pública direta;7.917;5.990;Sim;5.951;Sim;593.273,24;119.474,58;100.575,86;26.209.764,98;;;;Não;;;Não;;Sim;jun/12;Municipal;;0;99,04
410390;Campina da Lagoa;PR;Sul         ;;2020;41039040;PREFEITURA MUNICIPAL DE CAMPINA DA LAGOA;PMCL;Administração pública direta;14.043;11.455;Sim;11.455;Sim;1.623.516,00;288.259,00;274.858,00;47.016.217,00;Não;;;;Sim;;Não;;Não;;;;0;141,73
410395;Campina do Simão;PR;Sul         ;;2020;41039540;Preitura Municipal de Campina do Simão;pmcs;Administração pública direta;3.859;1.314;Não;;Não;145.514,39;;;16.355.302,69;Não;;;;;;Não;;Não;;;;0;110,74
410400;Campina Grande do Sul;PR;Sul         ;RM Curitiba;2020;41040040;Prefeitura Municipal de Campina Grande do Sul;PMCGS;Administração pública direta;43.685;36.014;Sim;36.014;Sim;3.645.400,30;3.460.000,00;3.295.111,48;120.836.775,21;Não;;;Sim;Sim;;Sim;;Sim;out/19;Municipal;;8;101,22
410405;Campo Bonito;PR;Sul         ;;2020;41040540;Prefeitura Municipal de Campo Bonito;PMCB;Administração pública direta;3.763;2.203;Não;;Sim;168.000,00;15.000,00;15.000,00;1.459.000,00;Não;;;Sim;Sim;;Não;;Sim;out/10;Municipal;;3;76,26
410410;Campo do Tenente;PR;Sul         ;;2020;41041040;Secretaria Municipal da Agricultura Pecuária e Meio Ambiente;SEMAPEMA;Administração pública direta;8.045;4.736;Sim;4.654;Sim;323.622,53;30.000,00;84.628,61;29.786.961,81;Não;;;Sim;Sim;Sim;Não;;Não;;;;6;68,33
410420;Campo Largo;PR;Sul         ;RM Curitiba;2020;41042040;Secretaria Municipal de Desenvolvimento Urbano e Meio Ambiente;SMDUMA;Administração pública direta;133.865;112.178;Sim;112.178;Sim;11.827.313,74;9.414.000,00;9.380.681,88;295.628.888,04;Não;;;Sim;Sim;Sim;Sim;;Sim;set/16;Municipal;;162;105,43
410425;Campo Magro;PR;Sul         ;RM Curitiba;2020;41042540;Secretaria de Desenvolvimento Urbano e Ambiental;SDUA;Administração pública direta;29.740;23.400;Sim;20.000;Sim;1.627.449,09;816.389,44;1.671.430,57;73.935.130,36;Não;;;Sim;Sim;Sim;Sim;;Não;;;;19;69,55
410430;Campo Mourão;PR;Sul         ;;2020;41043040;Secretaria da Agricultura e Meio Ambiente;SEAMA;Administração pública direta;95.488;90.540;Sim;90.000;Sim;6.250.004,88;7.238.196,42;4.394.186,87;324.254.771,22;Não;;;Não;;;Não;;Sim;fev/18;Municipal;;106;69,03
410440;Cândido de Abreu;PR;Sul         ;;2020;41044040;PREFEITURA MUNICIPAL DE CÂNDIDO DE ABREU;PMCA;Administração pública direta;14.809;4.225;Sim;1.780;Sim;415.246,00;220.003,00;104.087,32;38.464.440,11;Não;;;;;;Não;;Sim;;Municipal;;0;98,28
410442;Candói;PR;Sul         ;;2020;41044240;Prefeitura Municipal de Candói;PMC;Administração pública direta;16.053;7.528;Sim;7.528;Sim;876.111,57;362.000,00;452.788,31;42.924.849,33;Não;;;Sim;Sim;Sim;Não;;Sim;ago/11;Municipal;;13;116,38
410450;Capanema;PR;Sul         ;;2020;41045040;PREFEITURA MUNICIPAL DE CAPANEMA;PMC;Administração pública direta;19.148;11.524;Sim;11.524;Sim;1.514.343,09;1.100.000,00;939.329,84;57.326.241,09;Não;;;Sim;Sim;Sim;Não;;Sim;mar/14;Municipal;;28;131,41
410460;Capitão Leônidas Marques;PR;Sul         ;;2020;41046040;Secretaria Municipal de Agricultura, Pecuária  e Meio Ambiente;SAMA;Administração pública direta;15.834;12.153;Sim;12.153;Sim;1.521.858,95;734.100,00;182.231,88;48.665.740,00;;;;Sim;Sim;Sim;Não;;Sim;dez/20;Municipal;;2;125,22
410465;Carambeí;PR;Sul         ;;2020;41046540;SECRETARIA MUNICIPAL DO MEIO AMBIENTE;SMMA;Administração pública direta;23.825;17.304;Sim;17.304;Sim;1.503.400,00;168.000,00;161.340,00;84.071.038,00;Não;;;;Sim;;Não;;Sim;;Municipal;;6;86,88
410470;Carlópolis;PR;Sul         ;;2020;41047040;Prefeitura Municipal;PM;Administração pública direta;14.356;9.797;Sim;9.797;Sim;2.016.460,00;230.000,00;262.982,00;34.519.774,00;Não;;;;;;Não;;Não;;;;40;205,82
410480;Cascavel;PR;Sul         ;;2020;41048040;Secretaria de Meio Ambiente;SEMA;Administração pública direta;332.333;313.573;Sim;313.573;Sim;39.575.318,88;27.004.000,00;28.391.172,55;751.128.395,34;Sim;2.696.397,29;Não oneroso (a fundo perdido);Sim;Sim;Sim;Não;;Sim;out/10;Municipal;;393;126,21
410490;Castro;PR;Sul         ;;2020;41049040;PREFEITURA MUNICIPAL DE CASTRO;PMCASTRO;Administração pública direta;71.809;52.736;Sim;36.915;Sim;3.488.179,70;6.123.710,00;3.891.596,90;187.160.155,78;Não;;;;Não;;Não;;Não;;;;66;66,14
410500;Catanduvas;PR;Sul         ;;2020;41050040;prefeitura municipal de catanduvas;pmc;Administração pública direta;10.167;5.324;Sim;4.792;Sim;829.727,00;330.238,00;343.345,00;38.753.659,00;Não;;;Sim;Sim;Sim;Não;;Sim;;Municipal;;13;155,85
410510;Centenário do Sul;PR;Sul         ;;2020;41051040;PREFEITURA MUNICIPAL DE CENTENARIO DO SUL;PMCS;Administração pública direta;10.764;8.979;Não;;Não;3.930.285,05;;;42.866.716,14;Não;;;Não;Não;;Não;;Não;;;;21;437,72
410530;Céu Azul;PR;Sul         ;;2020;41053040;SECRETARIA DO MEIO AMBIENTE E RECURSOS HÍDRICOS;SEMA;Administração pública direta;11.819;8.985;Sim;;Sim;712.395,97;527.361,19;506.778,31;59.901.315,70;Não;;;;;;Não;;Sim;;Municipal;;10;79,29
410540;Chopinzinho;PR;Sul         ;;2020;41054040;Secretaria de Agricultura, Pecuaria e Meio Ambiente;SMAPMA;Administração pública direta;19.167;12.183;Sim;12.000;Sim;1.833.054,31;954.510,09;976.069,56;76.063.225,12;Não;;;;Sim;Sim;Não;;Sim;dez/14;Municipal;;12;150,46
410550;Cianorte;PR;Sul         ;;2020;41055040;sanepar;sanepar;Sociedade de economia mista com administração pública;83.816;74.619;Sim;;Não;7.266.798,68;;;244.439.781,98;Não;;;;;;Não;;Sim;;Municipal;;112;97,39
410560;Cidade Gaúcha;PR;Sul         ;;2020;41056040;Prefeitura Municipal de Cidade Gaúcha;pmcg;Administração pública direta;12.797;10.615;Sim;10.615;Sim;1.316.245,00;72.526,00;100.000,00;36.487.562,00;Não;;;;;;Não;;Sim;mai/20;Municipal;;0;124
410570;Clevelândia;PR;Sul         ;;2020;41057040;MUNICÍPIO DE CLEVELÂNDIA;PREFEITURA;Administração pública direta;16.450;14.082;Sim;14.000;Sim;1.065.163,19;610.000,00;1.039.634,97;62.640.914,33;Não;;;;;;Não;;Não;;;;9;75,64
410580;Colombo;PR;Sul         ;RM Curitiba;2020;41058040;Prefeitura Municipal de Colombo;PMC;Administração pública direta;246.540;235.237;Sim;235.237;Sim;20.032.483,59;16.404.500,00;15.505.618,23;390.405.078,13;Não;;;;;;Sim;;Sim;set/18;Municipal;;140;85,16
410590;Colorado;PR;Sul         ;;2020;41059040;Prefeitura Municipal de Colorado;pmc;Administração pública direta;24.145;22.697;Sim;10.500;Sim;792.157,00;352.800,00;336.000,00;86.988.533,00;Não;;;Sim;Não;;Não;;Sim;set/19;Municipal;;0;34,9
410600;Congonhinhas;PR;Sul         ;;2020;41060040;PREFEITURA MUNICIPAL DE CONGONHINHAS;PMC;Administração pública direta;8.857;5.171;Sim;3.700;Não;789.903,73;;;28.892.347,99;Não;;;;;;Não;;Não;;;;4;152,76
410610;Conselheiro Mairinck;PR;Sul         ;;2020;41061040;Departamento de Viação Obras e Urbanismo;PMCM;Administração pública direta;3.876;2.681;Sim;2.681;Sim;486.864,02;30.402,41;19.389,66;16.343.560,91;Não;;;Sim;Sim;Não;Sim;;Sim;jul/12;Municipal;;0;181,6
410620;Contenda;PR;Sul         ;RM Curitiba;2020;41062040;Prefeitura Municipal de Contenda;PMC;Administração pública direta;18.837;10.942;Sim;5.471;Sim;1.180.389,23;465.857,97;224.804,92;44.510.316,13;;;;;;;Sim;;Sim;;Municipal;;5;107,88
410630;Corbélia;PR;Sul         ;;2020;41063040;SECRETARIA DE DESENVOLVIMENTO ECONOMICO;SDE;Administração pública direta;17.117;14.666;Sim;14.000;Sim;738.000,00;800.000,00;800.000,00;8.000.000,00;;;;;;;Não;;Sim;;Municipal;;16;50,32
410640;Cornélio Procópio;PR;Sul         ;;2020;41064040;Prefeitura Municipal de Cornélio Procópio;PMCP;Administração pública direta;47.842;45.171;Sim;45.171;Não;1.357.197,50;;;136.049.852,60;Não;;;;;;Não;;Não;;;;42;30,05
410645;Coronel Domingos Soares;PR;Sul         ;;2020;41064540;Prefeitura Municipal de Coronel Domingos Soares;PMCDS;Administração pública direta;7.518;1.821;Não;;Sim;488.616,20;56.787,01;56.787,01;31.955.123,82;Não;;;;;;Não;;Não;;;;3;268,32
410650;Coronel Vivida;PR;Sul         ;;2020;41065040;DEPARTAMENTO DE MEIO AMBIENTE;DMA;Administração pública direta;20.580;14.615;Sim;14.615;Sim;1.065.098,91;1.380.000,00;1.179.127,41;67.348.115,32;Não;;;Sim;Sim;Sim;Não;;Sim;ago/19;Municipal;;31;72,88
410655;Corumbataí do Sul;PR;Sul         ;;2020;41065540;Secretaria da Agriculta e Meio Ambiente;SAM;Administração pública direta;3.127;1.662;Sim;1.662;Sim;361.630,46;42.400,00;38.168,64;16.886.625,14;Não;;;Sim;Sim;Sim;Não;;Não;;;;3;217,59
410657;Cruzeiro do Iguaçu;PR;Sul         ;;2020;41065740;PREFEITURA MUNICIPAL DE CRUZEIRO DO IGUAÇU;PMCI;Empresa pública;4.240;2.600;Sim;2.600;Sim;514.728,51;180.000,00;179.987,72;20.020.388,89;Não;;;Não;Não;;Não;;Não;jan/18;Municipal;;3;197,97
410660;Cruzeiro do Oeste;PR;Sul         ;;2020;41066040;Secretaria M. de Agricultura e Meio Ambiente e Secret. de Obras;SAMA;Administração pública direta;20.947;18.127;Sim;18.127;Sim;3.061.983,06;1.629.176,94;1.599.461,94;68.742.921,55;Não;;;;;;Não;;Sim;jun/14;Municipal;;0;168,92
410670;Cruzeiro do Sul;PR;Sul         ;;2020;41067040;Prefeitura Municipal de Cruzeiro do Sul;PMCS;Administração pública direta;4.449;3.319;Sim;3.300;Sim;275.713,00;53.057,27;36.939,09;18.433.902,00;;;;;;;Sim;;Sim;;Intermunicipal;;0;83,07
410680;Cruz Machado;PR;Sul         ;;2020;41068040;Secretaria Municipal de Agricultura e Meio Ambiente;SMAM;Administração pública direta;18.741;6.292;Não;;Não;1.210.615,18;;;55.990.269,03;Não;;;;;;Não;;Não;;;;25;192,41
410685;Cruzmaltina;PR;Sul         ;;2020;41068540;Prefeitura Municipal de Cruzmaltina;PMC;Administração pública direta;2.921;1.388;Sim;950;Não;114.000,00;;;13.103.384,09;Não;;;;;;Não;;Sim;out/14;Municipal;;0;82,13
410690;Curitiba;PR;Sul         ;RM Curitiba;2020;41069040;PREFEITURA MUNICIPAL DE CURITIBA;PMC;Administração pública direta;1.948.626;1.948.626;Sim;1.948.626;Sim;299.889.089,63;179.025.000,00;173.178.956,00;7.624.666.697,83;Não;;;;Sim;Sim;Sim;;Sim;nov/17;Municipal;;2.222;153,9
410700;Curiúva;PR;Sul         ;;2020;41070040;Prefeitura Municipal de Curiúva;PMC;Administração pública direta;15.196;10.448;Sim;;Sim;1.599.878,43;342.600,00;487.376,61;40.736.015,44;Não;;;;;;Sim;;Sim;jan/12;Municipal;;28;153,13
410710;Diamante do Norte;PR;Sul         ;;2020;41071040;PREFEITURA MUNICIPAL DE DIAMANTE DO NORTE;PMDN;Administração pública direta;5.030;4.150;Sim;;Sim;450.907,23;23.320,00;18.906,11;22.510.328,00;;;;;;;Não;;Não;;;;15;108,65
410712;Diamante do Sul;PR;Sul         ;;2020;41071240;Prefeitura Municipal de Diamante do Sul;PMDS;Administração pública direta;3.424;1.371;Não;;Não;55.734,18;;;17.753.030,46;Não;;;;;;Não;;Não;;;;1;40,65
410715;Diamante D Oeste;PR;Sul         ;;2020;41071540;Prefeitura Municipal de Diamante D Oeste;PMDDO;Administração pública direta;5.266;2.683;Sim;2.683;Sim;370.698,02;18.282,93;15.535,32;19.988.602,26;Sim;1.047.774,00;Não oneroso (a fundo perdido);Sim;Sim;Sim;Não;;Sim;jul/18;Intermunicipal;[7 municípios]: Vera Cruz do Oeste - PR, Ouro Verde do Oeste - PR, São Pedro do Iguaçu - PR, Matelândia - PR, São José das Palmeiras - PR, Ramilândia - PR, Diamante D Oeste - PR;0;138,17
410720;Dois Vizinhos;PR;Sul         ;;2020;41072040;Administração pública direta;pmdv;Administração pública direta;41.038;31.868;Sim;31.868;Sim;3.993.759,33;1.800.000,00;1.600.000,00;117.159.145,00;Não;;;;;;Não;;Sim;out/14;Municipal;;93;125,32
410725;Douradina;PR;Sul         ;;2020;41072540;Secretaria  Municipal de  Agricultura e Meio Ambiente;SMAMA;Administração pública direta;8.869;6.237;Sim;6.237;Sim;486.660,00;240.000,00;138.000,00;31.155.144,89;Não;;;Sim;Sim;Sim;Não;;Sim;set/14;Municipal;;0;78,03
410730;Doutor Camargo;PR;Sul         ;RM Maringá;2020;41073040;Prefeitura Municipal;PM;Administração pública direta;5.983;5.245;Sim;;Sim;279.642,48;308.041,09;153.032,57;19.820.000,00;Não;;;;;;Não;;Sim;dez/16;Municipal;;3;53,32
410740;Enéas Marques;PR;Sul         ;;2020;41074040;MUNICÍPIO DE ENÉAS MARQUES;PMEM;Administração pública direta;5.933;2.067;Sim;2.067;Sim;567.735,06;88.512,54;68.101,39;27.659.457,19;Não;;;;;;Não;;Sim;;Municipal;;3;274,67
410750;Engenheiro Beltrão;PR;Sul         ;;2020;41075040;Prefeitura Municipal de Engenheiro Beltrão;PMEB;Administração pública direta;13.981;12.344;Sim;11.000;Sim;334.008,49;100.000,00;98.874,03;40.859.152,28;Não;;;;;;Não;;Sim;set/11;Municipal;;11;27,06
410752;Esperança Nova;PR;Sul         ;;2020;41075240;Prefeitura Municipal de Esperança Nova;PMEN;Administração pública direta;1.665;636;Sim;614;Sim;236.550,00;55.463,03;27.759,06;12.466.871,85;;;;;;;Não;;Sim;abr/11;Municipal;;0;371,93
